Date,Open,High,Low,Close,Adj Close,Volume
1/7/2016,35.866001,38.299999,35.827,37.940498,37.940498,1372710000
1/8/2016,37.9935,38.749001,37.517502,38.458,38.458,1000008000
1/9/2016,38.544998,41.997501,37.799999,41.865501,41.865501,1346714000
1/10/2016,41.799999,42.3605,38.730499,39.491001,39.491001,1541276000
1/11/2016,39.950001,40.042,35.505001,37.5285,37.5285,2201718000
1/12/2016,37.620499,39.123001,36.834999,37.4935,37.4935,1473204000
1/1/2017,37.896,42.192001,37.384998,41.174,41.174,1412280000
1/2/2017,41.460499,43.042999,40.150002,42.251999,42.251999,1434966000
1/3/2017,42.6525,44.517502,41.674999,44.327,44.327,1214214000
1/4/2017,44.400002,47.4795,44.224499,46.2495,46.2495,1470794000
1/5/2017,46.389999,50.060001,46.389999,49.730999,49.730999,1524040000
1/6/2017,49.929501,50.849998,46.349998,48.400002,48.400002,1922708000
1/7/2017,48.6395,54.165501,47.549999,49.389,49.389,1576248000
1/8/2017,49.8055,50.32,46.816502,49.029999,49.029999,1547836000
1/9/2017,49.209999,50,46.587502,48.067501,48.067501,1185836000
1/10/2017,48.200001,56.1395,47.518501,55.264,55.264,1666682000
1/11/2017,55.27,60.670502,54.343498,58.837502,58.837502,1543300000
1/12/2017,58.602501,59.738998,56.237,58.473499,58.473499,1155204000
1/1/2018,58.599998,73.628998,58.525501,72.544502,72.544502,1927424000
1/2/2018,72.25,76.434998,63.296501,75.622498,75.622498,2755680000
1/3/2018,75.68,80.876999,68.260002,72.366997,72.366997,2608002000
1/4/2018,70.880997,81.904999,67.643997,78.306503,78.306503,2598392000
1/5/2018,78.161003,81.75,77.301003,81.481003,81.481003,1432310000
1/6/2018,81.851501,88.154999,81.754501,84.989998,84.989998,1718826000
1/7/2018,84.135002,94.002502,83.903,88.872002,88.872002,1950422000
1/8/2018,89.199997,101.278503,88.801003,100.635498,100.635498,1931516000
1/9/2018,101.324997,102.525002,93.25,100.150002,100.150002,1888910000
1/10/2018,101.099503,101.6595,73.818001,79.900497,79.900497,3664416000
1/11/2018,81.176498,89.199997,71,84.508499,84.508499,2785800000
1/12/2018,88.473,88.917,65.349998,75.098503,75.098503,3096254000
1/1/2019,73.260002,86.820503,73.046501,85.936501,85.936501,2680034000
1/2/2019,81.944,83.653,78.337997,81.991501,81.991501,1618738000
1/3/2019,82.7565,91.1875,79.328499,89.037498,89.037498,2016644000
1/4/2019,90.005501,97.817001,89.936501,96.325996,96.325996,1624784000
1/5/2019,96.654503,98.220001,88.635002,88.753502,88.753502,1964288000
1/6/2019,88.000504,96.760002,83.599998,94.681503,94.681503,1494930000
1/7/2019,96.149002,101.790001,92.472,93.338997,93.338997,1462976000
1/8/2019,93.585999,94.896004,87.175499,88.814499,88.814499,1595424000
1/9/2019,88.5,92.682999,85.460999,86.795502,86.795502,1223458000
1/10/2019,87.300003,89.942497,84.252998,88.833,88.833,1407210000
1/11/2019,89.400497,91.234497,86.135498,90.040001,90.040001,1041524000
1/12/2019,90.220001,95.07,86.75,92.391998,92.391998,1362992000
