Date,Open,High,Low,Close,Adj Close,Volume
1/5/2018,53000,53900,49100,50700,43567.40234,321498280
1/6/2018,50500,51800,45900,46650,40087.17578,252348762
1/7/2018,46500,47600,44650,46250,40039.04297,214539505
1/8/2018,46050,48450,43500,48450,41943.59766,194108773
1/9/2018,48200,48300,44000,46450,40212.17969,197984482
1/10/2018,46450,46800,40400,42400,36982.26172,234645485
1/11/2018,42450,45250,41750,41850,36502.53516,205923404
1/12/2018,42750,43400,38100,38700,33755.03125,250506995
1/1/2019,38700,47050,36850,46150,40628.11328,301783852
1/2/2019,46650,47550,44250,45100,39703.75,194923203
1/3/2019,45100,47000,43100,44650,39307.60156,223260605
1/4/2019,45200,47600,43800,45850,40681.57813,209113436
1/5/2019,45850,46150,40850,42500,37709.20703,271585071
1/6/2019,42950,47000,42500,47000,41701.94922,194668243
1/7/2019,47350,47550,44350,45350,40552.0625,183771791
1/8/2019,44900,45500,42500,44000,39344.89063,205260271
1/9/2019,44850,49650,43100,49050,43860.60156,207963296
1/10/2019,48900,52500,47350,50400,45394.40234,199451656
1/11/2019,50600,53800,50200,50300,45304.33594,223956592
1/12/2019,50900,57300,49000,55800,50258.08203,264807425
